Title,Matthew,Mark,Luke,John
The preaching of John the Baptist,,,"3:7-9
16-17",
The three temptations in the wilderness,,,4:1-13,
The Beatitudes,,,6:20-23,
The command to love your enemies,,,6:27-36,
The command not to judge others,,,6:37-42,
"The healing of the centurion's slave",,,7:1-10,
The question from John the Baptist in prison,,,7:18-35,
"The Lord's Prayer",,,11:2-4,
The need for fearless confession in light of the coming judgment,,,12:2-12,
The command not to worry about food and clothing,,,12:22-32,
The parable of the unfaithful slave,,,12:39-48,
Entering the kingdom through the narrow door,,,13:23-30,
The parable of the great wedding feast,,,14:15-24,
