Title,Matthew,Mark,Luke,John,Matthew Page,Mark Page,Luke Page,John Page,Page
Prologues and the Birth of John the Baptist,1:1,1:1,1:1-79,1:1-5,6,6,6-12,6,6
Birth of Jesus Christ (Announcement to Joseph),1:18-25,,,,12-13,,,,12
Birth of Jesus and the Shepherds,,,2:1-21,,,,13-14,,13
The Genealogies of Jesus Christ,1:1-17,,3:23-35,,15-16,,15,,15
Presentation of Jesus in the Temple,,,2:22-37,,,,16-17,,16
Visit of the Wise Men and Flight into Egypt,2:1-23,,2:38-39,,18-20,,18,,18
John the Baptist in the Wilderness,,,1:80,,,,20,,20
Preaching of John the Baptist,3:1-17,1:2-6,3:1-18,1:6,22-24,22,22-24,22,22
John's Witness to the Coming One,,1:7,,,,23,,,23
The Baptism of Jesus,,1:8-11,3:21-22,1:7-9,,24,24,24,24
The Temptation of Jesus,4:1-11,1:12-13,3:23,,25-26,25,25,,25
The First Disciples and Testimony of John,25:,1:13,,1:10-51,"26 178, 205",26,,26-29,26
The Wedding at Cana,,,,2:1-11,,,,30,30
The Cleansing of the Temple,21:12-13,11:15-17,19:45-46,2:12,"31, 182","31, 182","31, 182",31,31
Jesus at the Passover in Jerusalem,,,,2:23-25,,,,32,32
Departure to Galilee and the Samaritan Woman,4:12,1:14,3:19-20,4:1-43,35,35,35,35-39,35
Ministry in Galilee and Healing the Official's Son,,,4:14-15,4:45-50,,,39,39,39
Rejection at Nazareth and Healings in Capernaum,13:54,6:1-4,4:16-44,4:51-54,40,40-41,40-45,40,40
A Prophet Without Honor,13:55-57,,,4:44,41,,,41,41
Calling of the First Disciples and Miraculous Catch,4:13-22,1:14-16,5:1-11,,42-43,42,42-43,,42
Miracles in Capernaum and Cleansing a Leper,,1:17-45,,,,43-46,,,43
Healings at Peter's House,8:14-17,,,,44-45,,,,44
Ministry in Galilee; Call of Levi; Question on Fasting,4:23-25,,5:12-39,,45,,45-48,,45
Healing the Paralytic and Call of Levi,8:4,2:1-22,,,46,46-48,,,46
Forgiveness of Sins and New Wine in Old Wineskins,9:4-17,,,,47-48,,,,47
Healing at the Pool of Bethesda and Jesus' Authority,,,,5:1-47,,,,48-52,48
Lord of the Sabbath and the Commissioning,12:1-10,2:23-28,6:1-26,,52-53,52-53,52-56,,52
Healing on the Sabbath and Appointment of the Twelve,12:11,3:1-19,,,"53, 149",53-55,,,53
The Beatitudes,5:1-12,,,,55-56,,,,55
Salt of the Earth and Light of the World,5:13,9:50,11:33,,"56, 117","56, 117",56,,56
The Permanence and Fulfillment of the Law,5:18,,16:17,,"57, 157",,"57, 157",,57
Settling with an Accuser,,,12:57-59,,,,58,,58
Teaching on Divorce and Love for Enemies,5:32,10:11,6:29-30,,"59, 157","59, 157, 168",59,,59
Giving; Prayer; Fasting; Love for Enemies,6:1-18,,6:27-28,,60-62,,60,,60
The Lord's Prayer,,,11:1-4,,,,61,,61
Treasures in Heaven and Lamp of the Body,6:19-21,,11:34-36,,"62, 143",,62,,62
Serving Two Masters and Do Not Worry,6:24,,12:22-31,,"63, 156",,63,,63
Judging Others and the Golden Rule,7:1-12,,6:36-42,,64-65,,64,,64
The Golden Rule,,,6:31,,,,65,,65
The Narrow Gate and Two Foundation Builders,7:13-14,,6:43-49,,"66, 148",,66-67,,66
The Centurion's Servant and Anointing at Nain,7:23,,7:1-50,,"67, 148",,67-73,,67
John the Baptist's Inquiry and Jesus' Praise,11:2-11,,,,69-70,,,,69
The Law; the Prophets; Kingdom of God,11:12,,16:16,,"70, 157",,"70, 157",,70
Woes to Unrepentant Cities,11:21,,10:13,,"71, 136",,"71, 136",,71
Rest for the Weary and Thanksgiving to the Father,11:26-30,,10:22,,72,,72,,72
Death of John the Baptist and Women Disciples,14:6-12,6:21-29,8:1-3,,74-75,74-75,74,,74
Blasphemy Against the Spirit; Jesus and Beelzebul,12:22-50,3:19-26,11:14-23,,75-78,75,75-76,,75
Binding the Strong Man and True Relatives of Jesus,,3:27-35,12:10,,,76-78,76,,76
Return of the Unclean Spirit and True Blessedness,,,11:24-28,,,,77-78,,77
Parables of the Kingdom of God,13:1-53,4:1-34,8:4-18,,78-84,78-83,78-81,,78
Parables of the Mustard Seed and the Leaven,,,13:18-21,,,,82,,82
Calming the Storm,8:18,4:35-41,8:22-27,,85,85,85,,85
Healing the Gerasene Demoniac,,,8:28-29,,,,86,,86
Jesus Returns to His Own City,9:1,,,,87,,,,87
Sending Out the Twelve Apostles,10:1,6:6-8,9:1-5,,90,90,90-91,,90
Instructions for Mission and Spirit's Defense,,6:9-11,12:11-12,,,91,91-92,,91
Warning Against Hypocrisy and Encouragement,,,12:2-9,,,,92-93,,92
Not Peace But Division and Cost of Discipleship,10:37-38,,12:51-53,,"93, 152",,93,,93
Feeding of the 5000 and the Bread of Life,10:40-41,6:12-16,9:6-17,6:1-71,94,94,94-96,94-102,94
Clean and Unclean; Canaanite Woman; Feeding 4000,15:1-39,7:1-37,,,102-107,102-106,,,102
Feeding 4000 and Warning Against Yeast,,8:1-14,,,,106-108,,,106
The Demand for a Sign and Interpreting Times,16:1-5,,12:54-56,,107-108,,107,,107
Leaven of the Pharisees and Sadducees,16:6,8:15,,,"108, 142","108, 142",,,108
Peter's Confession; Transfiguration; Passion Foretold,,,9:18-50,,,,109-116,,109
Peter's Confession and First Passion Prediction,16:19-27,,,,110,,,,110
The Transfiguration and Possessed Boy,16:28,9:1-40,,,111,111-116,,,111
Faith as a Mustard Seed,17:20,,17:6,,"114, 159",,"114, 159",,114
Unbelief of Jesus' Brothers,,,,7:1-9,,,,115,115
True Greatness and Causing Little Ones to Sin,18:1-5,9:42,17:2,,116,"116, 159","116, 159",,116
Temptations to Sin and Salted with Fire,18:7,9:43-49,17:1,,"117, 159",117,"117, 158",,117
Parable of the Lost Sheep,18:11,,15:4-7,,118,,"118, 153",,118
Samaritan Rejection and Journey to Jerusalem,,,9:51-56,7:10,,,120,120,120
Cost of Following Jesus and Feast of Tabernacles,8:19-22,,9:57-62,7:11-52,121,,121,121-124,121
The Woman Caught in Adultery,,,,7:53,,,,125,125
Healing of the Man Born Blind,,,,9:1-41,,,,130-134,130
The Good Shepherd Discourse,,,,10:1-21,,,,134-135,134
Commissioning of the Seventy-Two,,,10:1-12,,,,136,,136
Return of Seventy-Two and Great Commandment,22:35-36,12:28,10:16-20,,"137, 192","137 , 192",137,,137
The Greatest Commandment,22:37-40,12:32-34,10:26-27,,"138, 192","138, 193","138, 192",,138
Woes to the Pharisees and Lawyers,23:25-26,,11:37-38,,"139, 196",,139,,139
Woes on Hypocrisy and Whitewashed Tombs,23:27-29,,11:41-43,,"140, 196",,140,,140
Condemnation of the Persecutors of Prophets,23:30-34,,11:48,,"141, 196",,"141, 196",,141
Parable of the Rich Fool,,,12:13-21,,,,142,,142
Exhortation to Watchfulness and Faithful Servants,24:43-45,,12:35-38,,"(143, 203",,143,,143
Parable of Faithful and Unfaithful Servants,24:46-51,,12:43-46,,"144, 203",,"144, 203",,144
Feast of Dedication and Jesus' Claims,,,,10:22-42,,,,146-147,146
The Last First and the First Last,19:30,10:31,13:22,,"148, 171","148, 171",148,,148
Lament over Jerusalem,23:37-39,,13:34-35,,"149, 197",,"149, 197",,149
Parable of the Great Banquet,22:1-7,,14:16-24,,"151, 189",,"151, 189-190",,151
Cost of Discipleship and Marriage Feast,22:13-14,,14:25-33,,"152, 190",,152,,152
Jesus Welcomes Sinners and Tax Collectors,,,15:1-3,,,,153,,153
Parable of the Dishonest Manager,,,16:1-12,,,,155-156,,155
God Knows the Heart and Warning to Lovers of Money,,,16:14-15,,,,157,,157
Parable of the Rich Man and Lazarus,,,16:23-31,,,,158,,158
Forgiveness of Sins and Increasing Faith,,,17:4-5,,,,159,,159
Raising of Lazarus and Sanhedrin's Plot,,,,11:1-54,,,,160-164,160
Healing of Ten Lepers and Coming Kingdom,,,17:11-22,,,,164-165,,164
The Coming of the Son of Man,24:26-27,,17:23-24,,"165, 200",,"165, 200",,165
Days of Noah and Fleeing Judgment,24:17-18,13:15-16,17:27,,"166, 199","166, 199","166, 202",,166
Persistent Widow; Pharisee & Tax Collector; Rich Ruler,,,18:1-24,,,,167-170,,167
Teaching on Marriage, Divorce, and Wealth,19:1-29,10:1-10,,,168-171,168,,,168
Jesus Blesses Children and Danger of Riches,,10:13-24,,,,169-170,,,169
Laborers in Vineyard and Request of Sons of Zebedee,20:1-24,10:25-30,18:25-30,,171-174,171,171,,171
Third Passion Prediction and Request of James and John,,10:32-41,18:31-34,,,173-174,173,,173
Greatness Through Servanthood,20:25,10:42,22:24-25,,"174, 211","174, 211","174, 211",,174
Healing Blind Bartimaeus at Jericho,20:29-34,10:46-52,18:35-43,,175,175,175,,175
Zacchaeus and Parable of the Minas,25:14-15,,19:4-11,,"176, 204",,176,,176
