Title,Matthew,Mark,Luke,John
Section 1,1:1,1:1,1:1-79,1:1-5
Section 2,1:18-25,,,
Section 3,,,2:1-21,
Section 4,1:1-17,,3:23-35,
Section 5,,,2:22-37,
Section 6,2:1-23,,2:38-39,
Section 7,,,1:80,
Section 8,3:1-17,1:2-6,3:1-18,1:6
Section 9,,1:7,,
Section 10,,1:8-11,3:21-22,1:7-9
Section 11,4:1-11,1:12-13,3:23,
Section 12,25:,1:13,,1:10-51
Section 13,,,,2:1-11
Section 14,21:12-13,11:15-17,19:45-46,2:12
Section 15,,,,2:23-25
Section 16,4:12,1:14,3:19-20,4:1-43
Section 17,,,4:14-15,4:45-50
Section 18,13:54,6:1-4,4:16-44,4:51-54
Section 19,13:55-57,,,4:44
Section 20,4:13-22,1:14-16,5:1-11,
Section 21,,1:17-45,,
Section 22,8:14-17,,,
Section 23,4:23-25,,5:12-39,
Section 24,8:4,2:1-22,,
Section 25,9:4-17,,,
Section 26,,,,5:1-47
Section 27,12:1-10,2:23-28,6:1-26,
Section 28,12:11,3:1-19,,
Section 29,5:1-12,,,
Section 30,5:13,9:50,11:33,
Section 31,5:18,,16:17,
Section 32,,,12:57-59,
Section 33,5:32,10:11,6:29-30,
Section 34,6:1-18,,6:27-28,
Section 35,,,11:1-4,
Section 36,6:19-21,,11:34-36,
Section 37,6:24,,12:22-31,
Section 38,7:1-12,,6:36-42,
Section 39,,,6:31,
Section 40,7:13-14,,6:43-49,
Section 41,7:23,,7:1-50,
Section 42,11:2-11,,,
Section 43,11:12,,16:16,
Section 44,11:21,,10:13,
Section 45,11:26-30,,10:22,
Section 46,14:6-12,6:21-29,8:1-3,
Section 47,12:22-50,3:19-26,11:14-23,
Section 48,,3:27-35,12:10,
Section 49,,,11:24-28,
Section 50,13:1-53,4:1-34,8:4-18,
Section 51,,,13:18-21,
Section 52,8:18,4:35-41,8:22-27,
Section 53,,,8:28-29,
Section 54,9:1,,,
Section 55,10:1,6:6-8,9:1-5,
Section 56,,6:9-11,12:11-12,
Section 57,,,12:2-9,
Section 58,10:37-38,,12:51-53,
Section 59,10:40-41,6:12-16,9:6-17,6:1-71
Section 60,15:1-39,7:1-37,,
Section 61,,8:1-14,,
Section 62,16:1-5,,12:54-56,
Section 63,16:6,8:15,,
Section 64,,,9:18-50,
Section 65,16:19-27,,,
Section 66,16:28,9:1-40,,
Section 67,17:20,,17:6,
Section 68,,,,7:1-9
Section 69,18:1-5,9:42,17:2,
Section 70,18:7,9:43-49,17:1,
Section 71,18:11,,15:4-7,
Section 72,,,9:51-56,7:10
Section 73,8:19-22,,9:57-62,7:11-52
Section 74,,,,7:53
Section 75,,,,9:1-41
Section 76,,,,10:1-21
Section 77,,,10:1-12,
Section 78,22:35-36,12:28,10:16-20,
Section 79,22:37-40,12:32-34,10:26-27,
Section 80,23:25-26,,11:37-38,
Section 81,23:27-29,,11:41-43,
Section 82,23:30-34,,11:48,
Section 83,,,12:13-21,
Section 84,24:43-45,,12:35-38,
Section 85,24:46-51,,12:43-46,
Section 86,,,,10:22-42
Section 87,19:30,10:31,13:22,
Section 88,23:37-39,,13:34-35,
Section 89,22:1-7,,14:16-24,
Section 90,22:13-14,,14:25-33,
Section 91,,,15:1-3,
Section 92,,,16:1-12,
Section 93,,,16:14-15,
Section 94,,,16:23-31,
Section 95,,,17:4-5,
Section 96,,,,11:1-54
